username,display_name
sundarpichai,Sundar Pichai
BradSmi,Brad Smith
panos_panay,Panos Panay
surface,Microsoft Surface
_MAnant,Anant Maheshwari
jeffteper,Jeff Teper
Azure,Microsoft Azure
msdev,Microsoft Developer
gdb,Greg Brockman
tbpn,TBPN
johncoogan,John Coogan
jordihays,Jordi Hays
mariorod1,Mario Rodriguez
jaredpalmer,Jared Palmer
asha_shar,Asha Sharma
amasad,Amjad Masad
code,Visual Studio Code
Nature,nature
ClementDelangue,clem 
MatthewBerman,Matthew Berman
dwarkesh_sp,Dwarkesh Patel
quocleix,Quoc Le
ashebytes,ashe
OriolVinyalsML,Oriol Vinyals
kmitford,Kathleen Mitford
MSCloud,Microsoft Cloud
Caglayan_Arkan,Caglayan Arkan
clamanna,Charles Lamanna
AmisMSFT,Ami Silverman
MSFTGarage,The Microsoft Garage
AgeOfEmpires,Age of Empires
MSFTAdvertising,Microsoft Advertising
BondSarah_Bond,BondSarahBond
Fredhum,Fred Humphries
RohanKData,Rohan Kumar
rodneyc55,Rodney Clark
WrightJacky1,Jacky Wright
jared_spataro,Jared Spataro
yusuf_i_mehdi,Yusuf Mehdi
Carmine_DiSibio,Carmine Di Sibio
