username,display_name
patio11,Patrick McKenzie
patrick_oshag,Patrick OShaughnessy
lennysan,Lenny Rachitsky
sarthakgh,Sar Haribhakti
scottbelsky,scott belsky
eriktorenberg,Erik Torenberg
nikillinit,Nikhil Krishnan
joshelman,Josh Elman
ByrneHobart,Byrne Hobart
benthompson,Ben Thompson
davidgomes,David Gomes
alexeykozy,Alexey
PatrickHeizer,Patrick Heizer
travisk,travis kalanick
MarkosAAIG,Markos
QuincyEdmundLee,Quincy Lee
jayair,Jay
dejavucoder,sankalp
__dxu,Daniel Xu
rookisaacman,Jared Isaacman
1thousandfaces_,Hero Thousandfaces
antifraudco,The Antifraud Company
HoopsCrave,Hoops Crave
pmddomingos,Pedro Domingos
hidecloud,hidecloud
damndanielliem,Daniel C. Liem
zxocw,olaf
ravi_lsvp,Ravi Mhatre
R_Mohr,Rob Mohr
luishXYZ,luis | prediction market arc
mwmoedinger,Marilyn Moedinger
tab_delete,Theo Baker
Quartr_App,Quartr
anselmlevskaya,Anselm Levskaya
jonmcneill,Jon McNeill
qasar,Qasar Younis
bolinfest,Michael Bolin
sherjilozair,Sherjil Ozair
raycmorgan,Ray Morgan
msanvido,Marco Sanvido
isidentical,batuhan the fal guy
