username,display_name
amasad,Amjad Masad
Austen,Austen Allred
antoniogm,Antonio García Martínez (agm.eth)
nikitabier,Nikita Bier
Suhail,Suhail
garrytan,Garry Tan
ShaanVP,Shaan Puri
paraschopra,Paras Chopra
sriramk,Sriram Krishnan
shl,Sahil Lavingia
eriktorenberg,Erik Torenberg
rabois,Keith Rabois
iam_preethi,Preethi Kasireddy
jdkanani,Jaynti Kanani (JD)
webdevMason,Mason
m2jr,"Mike Maples, Jr"
EricJorgenson,Eric Jorgenson 
rivatez,Riva
vkhosla,Vinod Khosla
BrianNorgard,Norgard
cory,Cory Levy
yaringal,Yarin
abshkbh,Abhishek Bhardwaj
stanfordnlp,Stanford NLP Group
ember_energy,Ember
Arminn_Ai,ΛRMIN | AI
SciGuySpace,Eric Berger
dcbruck,𝙳𝚛𝚎𝚠 𝙱𝚛𝚞𝚌𝚔𝚎𝚛
angrypenguinPNG,Miguel | AP
BitcoinArchive,Bitcoin Archive
MachinePix,MachinePix
azed_ai,Amira Zairi
ManuelStotz,Manuel Stotz
tonstrat,tonstrat
mcrown,Max Crown
pavelslavrin,Pavels Lavrinovics
notnotstorm,storm
jessepollak,jesse.base.eth
QuentinAnthon15,Quentin Anthony
atomicunit,Nitin Shantharam
