username,display_name
sloprules,John Hyslop
kevinxu,Kevin Xu
ptuomov,Ptuomov
KevinLMak,Kevin Mak
pedma7,pedma
AnthropicAI,Anthropic
mrjasonchoi,Jason Choi
izebel_eth,jez (equity perps era)
EffMktHype,𝐄𝐟𝐟𝐢𝐜𝐢𝐞𝐧𝐭 𝐌𝐚𝐫𝐤𝐞𝐭 𝐇𝐲𝐩𝐞
TheFlowHorse,Ryan Scott (Horse)
Vertox_DF,Vertox
HangukQuant,HangukQuant
pingpongsniping,pingpongsniping
idro___,beaver quant
MartinShkreli,Martin Shkreli
skyquake_1,illiquidity providooooor
moreproteinbars,Tina
coastal_quant,Coastal Quant
liquiditygoblin,Liquidity Goblin
NathanWorsley_,Nathan Worsley 
bauhiniacapital,baufinanciaphaster 
TCK_JRubano,Joel Rubano
chelseabfinn,Chelsea Finn
SamuelAlbanie,Samuel Albanie 
stanfordnlp,Stanford NLP Group
halfkelly,Risk of Ruin Podcast
roundrobin42,Isaac
Gingfacekillah,Andrew Mack
Quantaraum,quant
BeatzXBT,BeatzXBT
nishantkumar07,Nishant Kumar
crypto_hades,rbit
BenniKim,Kim BENNI
idoccor,s
nkreu113r,noah
0xfdf,fdf
thiccyth0t,thiccy
OrthogonalAlpha,HFTguy
SmokeTheBooks,Smoke the Books
paulg,Paul Graham
sama,Sam Altman
quant_arb,Stat Arb
