username,display_name
therobotjames,Robot James 
macrocephalopod,cephalopod
bennpeifert,Benn Eifert 
choffstein,Corey Hoffstein 
KrisAbdelmessih,Kris
quantian1,Quantіan
dampedspring,Andy Constan
SinclairEuan,Euan Sinclair
ltrd_,ltrd
0xdoug,Doug Colkitt
Ksidiii,Kris Sidial
SqueezeMetrics,SqueezeMetrics
CliffordAsness,Clifford Asness
LacertaXG1,Robert
TheSpeculator0,Speculator
goodalexander,goodalexander
OffTheRunTrades,Double Chin Capital
mgnr_io,mgnr
TCK_JRubano,Joel Rubano
0xLightcycle,Lionel Lightcycle
sichuan_mala,四川麻辣燙
antifraudco,The Antifraud Company
drfeifei,Fei-Fei Li
ACapitalLP,A Capital
nkreu113r,noah
NikOza2,Nik Oza
wavelettes,Ana
RepJackKimble,Rep. Jack Kimble
Isegoria,Isegoria
MickeyXaman,Mickey / Phase Transition
layer07_yuxi,Yuxi on the Wired
KopfMichal,Michal Kopf
idoccor,s
IronEconomist,Iron Economist
zft_send,tcp_indirect
int63_t,int63_t
littmath,Daniel Litt
justinskycak,Justin Skycak
0xAlcibiades,Alcibiades
ndea,Ndea
nicholsonbaker8,Nicholson Baker
