username,display_name
patrick_oshag,Patrick OShaughnessy
HarryStebbings,Harry Stebbings
BucknSF,Buck
trengriffin,Tren Griffin
jrichlive,Jeff Richards
sarthakgh,Sar Haribhakti
DanielSLoeb1,Daniel S. Loeb
m2jr,"Mike Maples, Jr"
danprimack,Dan Primack
ttunguz,Tomasz Tunguz
modestproposal1,modest proposal
altcap,Brad Gerstner
blakeir,Blake Robbins
andrew__reed,Andrew Reed
bznotes,Bilal Zuberi
gilbert,Ben Gilbert
loganbartlett,logan bartlett
rabois,Keith Rabois
martin_casado,martin_casado
joshelman,Josh Elman
richeisen,Rich Eisen
rsalakhu,Russ Salakhutdinov
drfeifei,Fei-Fei Li
thegautamkamath,Gautam Kamath
anoushkavaswani,Anoushka Vaswani
KexinHuang5,Kexin Huang
jaltma,Jack Altman
Gwynne_Shotwell,Gwynne Shotwell
TurnerNovak,Turner Novak 
ashleevance,Ashlee Vance
DrMEisenberg,Michael Eisenberg
ArfurRock,Arfur Rock
hidecloud,hidecloud
kanjun,Kanjun 
IO__podcast,IO Podcast
tbpn,TBPN
bryce,Bryce Roberts
sonyatweetybird,Sonya Huang 
ColeRotman,Cole Rotman
semaforben,Ben Smith
drvdhruv,Dhruv Malrana
