username,display_name
gavofyork,Gavin Wood
TimBeiko,timbeiko.eth
WorkshopLabsPBC,Workshop Labs
vnovakovski,Vladimir Novakovski
polymutex,polymutex
MatiasNisenson,Matias Nisenson
jasoncrawford,Jason Crawford
Zodomo,zodomo.eth (
ethereumconf,ETHConf
vivian_belenky,viv 
gluk64,ALEX | ZKsync ∎
ripeth,rip.eth
ReamLabs,Ream Labs
session_app,Session
SimpleXChat,SimpleX Chat
JJ_Lin,JJ Lin
Ivshti,Ivo 7702/acc
0xpantarhei,Panta Rhei
sebkrier,Séb Krier
ZhaoyinFeng,Zhaoyin Feng
casparschwa,Caspar
pabbeel,Pieter Abbeel
SleeperJets,SleeperJets
gregoryblotnick,Gregory Blotnick
zuzalukas,ZuKas (April 2026)
ZuGramaIndia,Zu-Grama
JoinEdgeCity,Edge City
ZuBerlinCity,ZuBerlin – Futura Garden
Atmos_Air,AtmosAir Solutions
allTheYud,Eliezer Yudkowsky
liron,Liron Shapira
pbrody,Paul Brody prbrody.eth
danwwang,Dan Wang
eli_lifland,Eli Lifland
DKokotajlo,Daniel Kokotajlo
GrapheneOS,GrapheneOS
DrPatrick,Dr. Pat Soon-Shiong
tsikhanouski_s,Sergey Tihanovski
asn_d6,George Kadianakis
richardllin,Richard Lin – open/acc
