username,display_name
patrick_oshag,Patrick OShaughnessy
theallinpod,The All-In Podcast
wolfejosh,Josh Wolfe
trengriffin,Tren Griffin
DanielSLoeb1,Daniel S. Loeb
altcap,Brad Gerstner
rabois,Keith Rabois
m2jr,"Mike Maples, Jr"
jaminball,Jamin Ball
jrichlive,Jeff Richards
ttunguz,Tomasz Tunguz
BucknSF,Buck
jaltma,Jack Altman
msuster,Mark Suster
andrewchen,andrew chen
gilbert,Ben Gilbert
mjmauboussin,Michael Mauboussin
martin_casado,martin_casado
jmj,Jeff Morris Jr.
KTmBoyle,Katherine Boyle
ashebytes,ashe
JeffDean,Jeff Dean
alexkshieh,Alex Shieh
shaneparrish,Shane Parrish
magooggie,maggie antone
ckaiwu,Kai Wu
MaikeMorrison,Maike Morrison
NACEOrg,National Association of Colleges and Employers
morganhousel,Morgan Housel
nickkokonas,nick kokonas
R_Thaler,Richard H Thaler
zingales_,Luigi Zingales
Ladiesver,Luigi Zingales
kevinschaul,Kevin Schaul
bearlyai,Bearly AI
jselingo,Jeff Selingo
PatrickMcGee_,Patrick McGee
evadou,Eva Dou
WillManidis,Will Manidis
