username,display_name
PennStateFball,Penn State Football
OnwardState,Onward State
coachjfranklin,James Franklin
PSUBarstool,Barstool Penn State
SeanFitzOn3,Sean Fitz
GoPSUsports,Penn State Athletics
McSorley_IX,Trace McSorley
brandonshort43,Brandon Short
Tali43,Adam Taliaferro
jasoncabinda,Jason Cabinda
haleyboy10,Grant Haley
nickshirleyy,Nick shirley
amendandpretend,Amend and Pretend
NVIDIADC,NVIDIA Data Center
NotebookLM,NotebookLM
Polymarket,Polymarket
tickerplus,TickerTrends 
stockthoughts81,Uncovering Value
arakharazian,Ara Kharazian
abialecki,Andrew Bialecki
MS_BASE44,Maor Shlomo
SleeperJets,SleeperJets
NASAAdmin,NASA Administrator Jared Isaacman
birenbomb,Gabby Birenbaum
AIStockSavvy,Hardik Shah
Casspi18,Omri Casspi עומרי משה כספי
Nominal_io,Nominal
SalesforceNews,Salesforce News & Insights
Jeffreyw5000,Jeff Weinstein 
daniel_levine,Daniel Levine
SzAriel,Ariel Szarfsztejn
maticrobots,Matic Robots
aniehenke,Alexander Niehenke
Srwarrington,Sean Warrington
LindyInvestor,Lindy Investor
lacostejonathan,Jonathan Lacoste
SecScottBessent,Treasury Secretary Scott Bessent
ejogren,Erik Ogren
Xometry,Xometry
joeschmidtiv,Joe Schmidt IV
