username,display_name
paulg,Paul Graham
pmarca,Marc Andreessen 
garrytan,Garry Tan
naval,Naval
alexandr_wang,Alexandr Wang
bznotes,Bilal Zuberi
ylecun,Yann LeCun
alexisohanian,Alexis Ohanian 
wolfejosh,Josh Wolfe
patrickc,Patrick Collison
jaltma,Jack Altman
olivercameron,Oliver Cameron
kaifulee,Kai-Fu Lee
AndrewYNg,Andrew Ng
drfeifei,Fei-Fei Li
karpathy,Andrej Karpathy
annimaniac,Ann Miura-Ko 
BradPorter_,Brad Porter
paultoo,Paul Buchheit
brian_armstrong,Brian Armstrong
SleeperJets,SleeperJets
lilianweng,Lilian Weng
samirmenon,Samir Menon
eriktorenberg,Erik Torenberg
tanay_tandon,Tanay Tandon
buckymoore,Bucky Moore
SaleemSKhatri,Saleem S. Khatri
jykishi,Josie Kishi
ankrgyl,Ankur Goyal
breeves08,Brandon Reeves
LM_Braswell,"""Leigh Marie"" Braswell"
kimberlywtan,Kimberly Tan
ChristopherFong,Christopher Fong
oao84,Osman (Ozzie) Osman
zafir,zafir
elatable,Bradley Horowitz
shabihr,Shabih Rizvi
gbrulte,Grayson Brulte
arjunsethi,Arjun Sethi
htaneja,Hemant Taneja
Harvard,Harvard University
