username,display_name
pmarca,Marc Andreessen 
paulg,Paul Graham
levie,Aaron Levie
HarryStebbings,Harry Stebbings
garrytan,Garry Tan
alexandr_wang,Alexandr Wang
ttunguz,Tomasz Tunguz
DanielSLoeb1,Daniel S. Loeb
micsolana,Mike Solana
arampell,Alex Rampell
zoink,Dylan Field
Austen,Austen Allred
BillAckman,Bill Ackman
NWischoff,Nichole Wischoff
Selkis_2028,Ryan Selkis (d/acc) 
tobi,tobi lutke
jrichlive,Jeff Richards
amasad,Amjad Masad
rabois,Keith Rabois
bznotes,Bilal Zuberi
damndanielliem,Daniel C. Liem
absoluttig,John Luttig
quocleix,Quoc Le
chelseabfinn,Chelsea Finn
SleeperJets,SleeperJets
juicebox_work,Juicebox
merritthummer,Merritt Hummer
emergentlabs,Emergent
RonMiasnik,ron
DylanAbruscato,Dylan Abruscato
BrainCo_AI,Brain Co
jaredkushner,Jared Kushner
chanpory,Chanpory
pers_leon,Leonid Persiantsev
chrishlad,Chris Hladczuk
ETHZilla_ETHZ,ETHZilla
AcquiredFM,Acquired Podcast
mikealfred,Mike Alfred
AIatMeta,AI at Meta
colin__flaherty,Colin Flaherty
0xChaosWalking,Jonathan Man
baldridgecpa,Mitchell Baldridge
